,Klasifikasi Desa,Jenis Kelamin,Tahun,APS Formal,Kelompok Umur
286,3,1,2014,98.74,usia SD
83,1,2,2014,75.34,usia SMA
67,1,2,2014,97.0,usia SMP
51,1,2,2014,99.35,usia SD
318,3,1,2014,69.7,usia SMA
177,2,1,2014,65.24,usia SMA
334,3,2,2015,98.7,usia SD
413,3,3,2015,70.26,usia SMA
225,2,2,2015,65.3,usia SMA
240,2,3,2015,98.17,usia SD
209,2,2,2015,93.6,usia SMP
162,2,1,2015,91.87,usia SMP
21,1,1,2015,95.58,usia SMP
366,3,2,2015,71.64,usia SMA
131,1,3,2015,75.7,usia SMA
272,2,3,2015,64.58,usia SMA
319,3,1,2015,68.99,usia SMA
99,1,3,2015,99.0,usia SD
381,3,3,2015,98.57,usia SD
115,1,3,2015,95.92,usia SMP
146,2,1,2015,98.04,usia SD
287,3,1,2015,98.45,usia SD
52,1,2,2015,99.1,usia SD
5,1,1,2015,98.89,usia SD
397,3,3,2015,94.25,usia SMP
303,3,1,2015,93.65,usia SMP
84,1,2,2015,77.5,usia SMA
68,1,2,2015,96.28,usia SMP
37,1,1,2015,73.98,usia SMA
256,2,3,2015,92.72,usia SMP
350,3,2,2015,94.87,usia SMP
178,2,1,2015,63.94,usia SMA
193,2,2,2015,98.32,usia SD
304,3,1,2016,93.72,usia SMP
53,1,2,2016,99.35,usia SD
69,1,2,2016,96.95,usia SMP
132,1,3,2016,75.85,usia SMA
320,3,1,2016,69.44,usia SMA
116,1,3,2016,95.91,usia SMP
382,3,3,2016,98.98,usia SD
100,1,3,2016,99.34,usia SD
367,3,2,2016,72.0,usia SMA
273,2,3,2016,65.23,usia SMA
147,2,1,2016,98.63,usia SD
6,1,1,2016,99.33,usia SD
194,2,2,2016,98.62,usia SD
288,3,1,2016,98.97,usia SD
398,3,3,2016,94.79,usia SMP
85,1,2,2016,77.48,usia SMA
414,3,3,2016,70.68,usia SMA
38,1,1,2016,74.23,usia SMA
335,3,2,2016,98.98,usia SD
22,1,1,2016,94.89,usia SMP
351,3,2,2016,95.9,usia SMP
179,2,1,2016,64.58,usia SMA
163,2,1,2016,92.59,usia SMP
257,2,3,2016,93.7,usia SMP
226,2,2,2016,65.95,usia SMA
210,2,2,2016,94.87,usia SMP
241,2,3,2016,98.63,usia SD
148,2,1,2017,98.55,usia SD
399,3,3,2017,94.98,usia SMP
133,1,3,2017,76.01,usia SMA
368,3,2,2017,71.8,usia SMA
321,3,1,2017,70.61,usia SMA
101,1,3,2017,99.45,usia SD
383,3,3,2017,99.08,usia SD
117,1,3,2017,96.35,usia SMP
23,1,1,2017,96.06,usia SMP
54,1,2,2017,99.48,usia SD
7,1,1,2017,99.42,usia SD
305,3,1,2017,94.23,usia SMP
39,1,1,2017,75.36,usia SMA
70,1,2,2017,96.64,usia SMP
86,1,2,2017,76.67,usia SMA
274,2,3,2017,65.88,usia SMA
289,3,1,2017,98.99,usia SD
242,2,3,2017,98.7,usia SD
227,2,2,2017,66.25,usia SMA
211,2,2,2017,94.83,usia SMP
195,2,2,2017,98.85,usia SD
180,2,1,2017,65.53,usia SMA
164,2,1,2017,92.34,usia SMP
258,2,3,2017,93.54,usia SMP
352,3,2,2017,95.77,usia SMP
336,3,2,2017,99.17,usia SD
